Animal_Color_ID,Animal_Color
1,black
2,gray
3,white
4,orange
5,brown
6,yellow
7,blue
8,green
10,red
11,turquoise 
12,magenta
13,purple
14,violet 
15,indigo
16,pink
17,navy blue
18,beige
19,lilac
20,lavander
21,peach
22,teal
23,burgandy
24,Maroon
25,Tabby
26,calico
27,Tortie
28,Tricolor
29,Sable
30,Tan
31,Brindle
32,Fawn
