Animal ID,Intake Type,In Date,Pet name,Animal Type,Pet Age,Pet Size,Color,Breed,Sex,URL Link ,Crossing
483192,OWNER SUR,10/25/2021,FRED,OTHER,NO AGE,SMALL,GREEN,LIZARD,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A483192&location=MONT,
483400,OWNER SUR,10/30/2021,PIXIE,BIRD,3 YEARS,SMALL,BLUE,PARAKEET,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A483400&location=MONT,
467605,RETURN,12/13/2020,*SUPERGIRL,DOG,6 YEARS,MED,GRAY,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A467605&location=MONT,
483401,OWNER SUR,10/30/2021,ASTRA,BIRD,3 YEARS,SMALL,WHITE,PARAKEET,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A483401&location=MONT,
482458,OWNER SUR,10/6/2021,CLOE,OTHER,8 WEEKS,MED,WHITE / BLACK,GUINEA PIG,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A482458&location=MONT,
482586,OWNER SUR,10/9/2021,*MOE,OTHER,1 YEAR 1 MONTH,SMALL,GRAY / WHITE,RAT,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A482586&location=MONT,
482072,OWNER SUR,9/26/2021,ALGERNON,OTHER,1 YEAR 7 MONTHS,SMALL,BROWN / WHITE,RAT,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A482072&location=MONT,
482306,OWNER SUR,10/2/2021,BUBBLES,OTHER,1 YEAR 1 MONTH,SMALL,WHITE / GRAY,HAMSTER,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A482306&location=MONT,
481871,OWNER SUR,9/20/2021,VENUS,CAT,12 YEARS,MED,BLACK,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A481871&location=MONT,
482585,OWNER SUR,10/9/2021,*CURLY,OTHER,1 YEAR 1 MONTH,SMALL,GRAY / WHITE,RAT,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A482585&location=MONT,
481608,RETURN,10/14/2021,*MAXI,OTHER,1 YEAR 2 MONTHS,MED,BLACK / WHITE,RABBIT SH,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A481608&location=MONT,
482070,OWNER SUR,9/26/2021,DESPERAUX,OTHER,1 YEAR 7 MONTHS,SMALL,BROWN / WHITE,RAT,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A482070&location=MONT,
482943,OWNER SUR,10/19/2021,CHIEF,CAT,7 MONTHS,SMALL,GRAY TAB,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A482943&location=MONT,
482574,OWNER SUR,10/9/2021,*CATHEW,CAT,5 MONTHS,KITTE,GRAY TAB,DOMESTIC MH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A482574&location=MONT,
482688,OWNER SUR,10/12/2021,ZOEY,CAT,8 MONTHS,SMALL,TAB CALICO,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A482688&location=MONT,
480017,BOARDING,8/6/2021,*JAMAL,OTHER,1 YEAR 3 MONTHS,SMALL,WHITE,RAT,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A480017&location=MONT,
480685,OWNER SUR,8/21/2021,WHITEY,OTHER,NO AGE,SMALL,WHITE,RAT,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A480685&location=MONT,
482962,OWNER SUR,10/19/2021,GRUFFALO,OTHER,7 MONTHS,MED,TAN / WHITE,GUINEA PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A482962&location=MONT,
